areacode,brand,name,id
12,cgv,강릉,0139
12,cgv,원주,0144
12,cgv,인제,0281
12,cgv,춘천,0070
6,loci,남원주,1|0007|7001
6,loci,동해,1|0007|7002
6,loci,원주무실,1|0007|7003
6,loci,춘천,1|0007|9081
,mega,남춘천,2001
,mega,속초,2171
,mega,원주,2201
,mega,원주센트럴,2202
